Month,Open Price,High Price,Low Price,Close Price
1997-03-01,300,320,269,279.5
1997-04-01,282.75,303.5,280,301.5
1997-05-01,301,310,294,299.5
1997-06-01,299.5,369.75,286.5,368
1997-07-01,368,375,337,359.25
1997-08-01,362.75,378.5,290.25,302
1997-09-01,308,338,298.5,300.5
1997-10-01,290.25,326.5,290.25,299.75
1997-11-01,299.5,302,265,279.75
1997-12-01,275.75,304.25,275,301
1998-01-01,295,304.75,285,294.5
1998-02-01,295.75,312,268.3,303.5
1998-03-01,317,327.5,280.5,312
1998-04-01,311,370,305,308.25
1998-05-01,317,333,285,294.8
1998-06-01,301.9,302,198,243
1998-07-01,240,311.7,230,310.8
1998-08-01,295,320,270,295.9
1998-09-01,287,310,285,298.75
1998-10-01,290,301,261.7,294
1998-11-01,299.5,304,285.2,298
1998-12-01,298.5,312,277,284.5
1999-01-01,282,324.25,257,261.9
1999-02-01,259.9,267,236.1,245.5
1999-03-01,248,248,248,248
1999-03-01,247,281,244,253
1999-04-01,253,256.4,195,200.1
1999-05-01,212.5,248,204.3,238
1999-06-01,237,350,237,309.75
1999-07-01,351,361,351,361
1999-07-01,307.75,370,307.75,340
1999-08-01,343,451.25,314,412.7
1999-09-01,417,426,380,405
1999-10-01,402,421,375,383.25
1999-11-01,406,406,406,406
1999-11-01,390,423.85,366.3,389.1
1999-12-01,390.5,415,360,370
2000-01-01,375,501,374,460
2000-02-01,460.5,475,374,375
2000-03-01,395,395,395,395
2000-03-01,379.9,437.05,365,425
2000-04-01,405,435,378,406.1
2000-05-01,401.05,440,350,425
2000-06-01,421.1,433,392,400.2
2000-07-01,405,455,255,279.35
2000-08-01,277.25,282.25,251.2,258.6
2000-09-01,260,262,217,220.05
2000-10-01,220,220,220,220
2000-10-01,220,248,205,240.05
2000-11-01,240.25,260,210,251.9
2000-12-01,253,283,235,276.6
2001-01-01,277.9,283.9,255,264.85
2001-02-01,262.5,287.95,259.5,269.4
2001-03-01,270,272,235.1,246.2
2001-04-01,246,270,229,260.05
2001-05-01,264,265,250,250
2001-05-01,261.95,279,245,254.75
2001-06-01,254.7,254.7,254.7,254.7
2001-06-01,253,260,242.1,250
2001-07-01,250,256.5,242.5,255.5
2001-08-01,255,263.75,255,262.25
2001-09-01,263,276,250.1,271
2001-10-01,265.05,277.95,255,268.5
2001-11-01,267.1,289.95,267.1,273.8
2001-12-01,271.5,285,260.05,271.5
2002-01-01,270,284.9,250.1,264
2002-02-01,273.9,314.9,267.5,304.9
2002-03-01,295.5,329,295.15,328.05
2002-04-01,331,344,300,322
2002-05-01,325,345,290,292.15
2002-06-01,307.75,328,298,324.3
2002-07-01,327.9,399,315,326.85
2002-08-01,327,350,321,340.3
2002-09-01,349,369,336.5,340.55
2002-10-01,350,360,325,329.9
2002-11-01,334,338.75,313,325
2002-12-01,330,339.2,299.65,324.65
2003-01-01,327.75,340,320,329.5
2003-02-01,326.15,331,315,315.9
2003-03-01,320,348.95,310,330.1
2003-04-01,325.5,336.95,319,331.95
2003-05-01,329,399,329,377.35
2003-06-01,379.95,388.9,370,378.2
2003-07-01,382.9,405.9,352.05,398.9
2003-08-01,400,472.35,257,307.9
2003-09-01,308,319.25,295,303.6
2003-10-01,302.75,315,272,273.3
2003-11-01,279.8,315,278.25,308.5
2003-12-01,310,337,302.05,336.15
2004-01-01,337,352,315,322.05
2004-02-01,320,325,292.05,299.95
2004-03-01,304,320,298,303.8
2004-04-01,300,323.75,299,308.3
2004-05-01,305.5,315.95,245,295
2004-06-01,296,317.5,282.25,313
2004-07-01,312.6,323.75,295.1,319.3
2004-08-01,320,326.6,307.55,315.65
2004-09-01,316,338,304,323.95
2004-10-01,325,325,293,295.4
2004-11-01,295,306,289,300
2004-12-01,300.05,330,295.6,320.15
2005-01-01,323,360,302.6,359.55
2005-02-01,359,363,341.3,356.3
2005-03-01,356,395,350.05,391.1
2005-04-01,395,401,362.2,371.6
2005-05-01,371,405,368.1,384.85
2005-06-01,387.85,418,384.25,411
2005-07-01,419,463.9,410,458.6
2005-08-01,458.5,489.75,455,480.9
2005-09-01,481,520,467,500.45
2005-10-01,500.15,532.8,465,482.65
2005-11-01,496,546.45,492.05,525.1
2005-12-01,527,583.9,526,577.4
2006-01-01,577.45,650,571.25,614.9
2006-02-01,615,790,612,668
2006-03-01,670,696,630.1,644.05
2006-04-01,635,662,590,642.3
2006-05-01,649.95,707,525,570
2006-06-01,581.6,605,501.1,597.05
2006-07-01,581,610,551,607.6
2006-08-01,610,655,599.5,633.3
2006-09-01,631.5,685,629.5,675.5
2006-10-01,682,712,530,670.1
2006-11-01,679.5,725,668.15,713.85
2006-12-01,719,742,692.1,733.55
2007-01-01,739,835,684.95,800.7
2007-02-01,799.7,810.15,708.3,739
2007-03-01,748,777.9,642,764.8
2007-04-01,759.2,819.9,731.1,793.2
2007-05-01,796,869.2,751,830.3
2007-06-01,839,900,800,810.95
2007-07-01,818.25,899.25,803.1,884.95
2007-08-01,860,995,860,943.75
2007-09-01,965,1000.05,921.65,982.95
2007-10-01,985,1120,900,1032
2007-11-01,1074,1095,953,990.35
2007-12-01,999.55,1125,981,1102.55
2008-01-01,1101,1319.95,875,1245.7
2008-02-01,1250,1255,1047.1,1111.9
2008-03-01,1072.65,1205,1072,1199.95
2008-04-01,1250,1283,1145,1276.45
2008-05-01,1295,1314,1200,1278.75
2008-06-01,1287,1300,1130,1148.5
2008-07-01,1165,1222,1000,1203
2008-08-01,1200,1298,1180.1,1223.35
2008-09-01,1224,1236,1136,1182.5
2008-10-01,1162,1185,830,956.75
2008-11-01,990,999,875,888.35
2008-12-01,886.1,913.3,845,895.1
2009-01-01,897,945,700,785.05
2009-02-01,789.85,844.9,757,786.25
2009-03-01,781,807,680.9,786
2009-04-01,809,950,770,887.05
2009-05-01,887,1190,863,1081.05
2009-06-01,1068.6,1199.95,1050.6,1177.45
2009-07-01,1195,1420,1110,1408.55
2009-08-01,1405,1448,1296.25,1391.4
2009-09-01,1399.8,1440,1335.1,1405.6
2009-10-01,1410,1715,1375,1644.8
2009-11-01,1644,1733.8,1615,1675.1
2009-12-01,1677,1811,1660.55,1796.25
2010-01-01,1738,1926,1730,1853.15
2010-02-01,1835,2024,1715.2,1809.55
2010-03-01,1822,2090,1818.5,2042.6
2010-04-01,2047,2117,2005,2074.95
2010-05-01,2075.8,2180,2009.9,2086.65
2010-06-01,2112.85,2465,2038,2306.25
2010-07-01,2315,2705.9,2283.5,2605.35
2010-08-01,2605,2826,2582.15,2762.45
2010-09-01,2821,2920,2366,2671.6
2010-10-01,2700,2744,2494.1,2678.25
2010-11-01,2681,2823.5,2450,2642.5
2010-12-01,2640.2,3027,2614,2874.85
2011-01-01,2898,2948.8,2485,2569.25
2011-02-01,2570,2625,2395.05,2405.5
2011-03-01,2418,2646.95,2400.4,2526.95
2011-04-01,2530.05,2780,2462.05,2773.75
2011-05-01,2784.45,3203,2643,3139.2
2011-06-01,3130,3230,2908.05,3180.55
2011-07-01,3180,3365.95,3067.05,3125.8
2011-08-01,3150,3338.15,3000.65,3287.15
2011-09-01,3325,3329.95,3001.4,3149.4
