iter	Passed	Remaining
753	17114	5583
754	17135	5560
755	17156	5537
756	17179	5514
757	17201	5491
758	17220	5468
759	17243	5445
760	17265	5422
761	17288	5399
762	17309	5376
763	17331	5353
764	17354	5331
765	17376	5308
766	17401	5286
767	17424	5263
768	17447	5241
769	17471	5218
770	17495	5196
771	17520	5174
772	17544	5152
773	17568	5129
774	17595	5108
775	17619	5085
776	17643	5063
777	17666	5041
778	17688	5018
779	17716	4996
780	17740	4974
781	17763	4952
782	17786	4929
783	17809	4906
784	17830	4883
785	17851	4860
786	17873	4837
787	17896	4814
788	17916	4791
789	17939	4768
790	17963	4746
791	17985	4723
792	18007	4700
793	18027	4677
794	18048	4653
795	18078	4633
796	18101	4610
797	18123	4587
798	18146	4564
799	18169	4542
800	18191	4519
801	18215	4496
802	18236	4473
803	18257	4450
804	18279	4428
805	18302	4405
806	18324	4382
807	18345	4359
808	18370	4337
809	18392	4314
810	18411	4290
811	18434	4268
812	18455	4244
813	18477	4222
814	18499	4199
815	18522	4176
816	18543	4153
817	18564	4130
818	18587	4107
819	18608	4084
820	18630	4061
821	18652	4039
822	18674	4016
823	18696	3993
824	18717	3970
825	18740	3947
826	18761	3924
827	18782	3901
828	18805	3879
829	18829	3856
830	18851	3833
831	18875	3811
832	18898	3788
833	18920	3765
834	18940	3742
835	18962	3719
836	18983	3696
837	19004	3673
838	19027	3651
839	19050	3628
840	19071	3605
841	19094	3582
842	19116	3560
843	19136	3537
844	19160	3514
845	19185	3492
846	19206	3469
847	19229	3446
848	19251	3423
849	19271	3400
850	19293	3378
851	19316	3355
852	19336	3332
853	19358	3309
854	19383	3287
855	19404	3264
856	19427	3241
857	19450	3219
858	19472	3196
859	19494	3173
860	19516	3150
861	19538	3128
862	19562	3105
863	19584	3082
864	19606	3059
865	19629	3037
866	19651	3014
867	19673	2991
868	19698	2969
869	19722	2947
870	19748	2924
871	19773	2902
872	19798	2880
873	19823	2857
874	19847	2835
875	19871	2812
876	19894	2790
877	19918	2767
878	19944	2745
879	19969	2723
880	19992	2700
881	20016	2677
882	20041	2655
883	20063	2632
884	20084	2609
885	20104	2586
886	20127	2564
887	20147	2541
888	20169	2518
889	20190	2495
890	20212	2472
891	20233	2449
892	20257	2427
893	20278	2404
894	20298	2381
895	20320	2358
896	20344	2336
897	20366	2313
898	20387	2290
899	20408	2267
900	20431	2244
901	20453	2222
902	20474	2199
903	20496	2176
904	20518	2153
905	20542	2131
906	20563	2108
907	20584	2085
908	20606	2062
909	20628	2040
910	20651	2017
911	20674	1994
912	20696	1972
913	20718	1949
914	20741	1926
915	20764	1904
916	20786	1881
917	20808	1858
918	20830	1835
919	20855	1813
920	20875	1790
921	20896	1767
922	20918	1745
923	20940	1722
924	20963	1699
925	20985	1676
926	21006	1654
927	21026	1631
928	21047	1608
929	21071	1586
930	21091	1563
931	21112	1540
932	21133	1517
933	21155	1494
934	21177	1472
935	21200	1449
936	21255	1429
937	21289	1407
938	21318	1384
939	21341	1362
940	21365	1339
941	21387	1316
942	21408	1294
943	21432	1271
944	21455	1248
945	21479	1226
946	21499	1203
947	21521	1180
948	21543	1157
949	21564	1134
950	21585	1112
951	21607	1089
952	21630	1066
953	21652	1044
